clg_name,rating,fees,pkg
"RK College of Engineering - [RKCE], Vijayawada",7.1,106850,1800000
"A. C. Patil College of Engineering - [ACPCE], Navi Mumbai",7.1,107573,300000
"Dr. B.C. Roy Engineering College - [BCREC], Durgapur",7.1,108980,435000
"CMR Institute of Technology - [CMRIT], Hyderabad",7.1,110000,300000
"Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM], New Delhi",7.1,118800,3800000
"Suresh Gyan Vihar University - [SGVU], Jaipur",7.1,120000,1395000
"Rajiv Gandhi Institute of Technology - [RGIT], Mumbai",7.1,120000,900000
"Delhi Technical Campus - [DTC], Greater Noida",7.1,124250,1000000
"Bangalore College of Engineering and Technology-[BCET], Bangalore",7.1,125000,250000
"A. P. Shah Institute of Technology - [APSIT], Thane",7.1,137706,1833000
"Vidya Vikas Institute of Engineering and Technology - [VVIET], Mysore",7.1,140000,350000
"Sri Sri University - [SSU], Cuttack",7.1,160000,7500000
"CIPET- Institute Of Plastics Technology - [IPT], Lucknow",7.1,200000,1000000
"Jayam College of Engineering and Technology - [JCET], Dharmapuri",7.1,200000,2000000
"SP Memorial Institute of Technology - [SPMIT], Allahabad",7.1,220000,90000
"SR University - [SRU], Warangal",7.1,225000,1200000
"Rajiv Gandhi Institute of Technology - [RIT], Kottayam",7.2,22000,460000
"Jabalpur Engineering College - [JEC], Jabalpur",7.2,22300,1200000
"Vaagdevi Engineering College - [VEC], Warangal",7.2,48000,360000
"Jawaharlal Nehru College of Technology - [JNCT], Rewa",7.2,48000,1800000
"Agni College of Technology, Chennai",7.2,50000,1032000
"Anand Institute of Higher Technology - [AIHT], Chennai",7.2,50000,1250000
"Selvam College of Technology - [SCT], Namakkal",7.2,50000,240000
"PET Engineering College, Tirunelveli",7.2,50000,550000
"RVS College of Engineering and Technology, Coimbatore",7.2,50000,750000
"Sri Ramanujar Engineering College - [SREC], Chennai",7.2,50000,600000
"Jahangirabad Institute of Technology, Barabanki",7.2,50000,350000
"Central Institute of Technology - [CIT], Kokrajhar",7.2,52000,1000000
"Malwa Institute of Science and Technology - [MIST], Indore",7.2,53500,1200000
"Jai Narain College of Technology & Science - [JNCTS], Bhopal",7.2,55000,1814000
"Rajkiya Engineering College - [REC], Ambedkar Nagar",7.2,57300,280000
"Rajkiya Engineering College - [REC], Sonbhadra",7.2,57300,600000
"DMI College of Engineering - [DMICE], Chennai",7.2,60000,4000000
"P.B. College of Engineering - [PBCE], Chennai",7.2,60000,1000000
"Info Institute of Engineering - [IIE], Coimbatore",7.2,60000,350000
"Bundelkhand Institute of Engineering & Technology - [BIET], Jhansi",7.2,61800,309000
"Chandigarh College of Engineering and Technology - [CCET], Chandigarh",7.2,64681,3380000
"GIET Engineering College, Rajahmundhry, East Godavari",7.2,65000,610000
"John Cox Memorial CSI Institute of Technology Kannammoola, Thiruvananthapuram",7.2,65000,4200000
"Alpha College of Engineering, Bangalore",7.2,65340,450000
"Gyan Ganga Institute of Technology and Sciences - [GGITS], Jabalpur",7.2,70000,360000
"Samrat Ashok Technological Institute - [S.A.T.I], Vidisha",7.2,71300,1200000
"L.J. Institute of Engineering and Technology - [LJIET], Ahmedabad",7.2,73000,1000000
"Kamaraj College of Engineering and Technology - [KCET], Virudhunagar",7.2,77000,4100000
"Camellia Institute of Engineering and Technology - [CIET], Bardhaman",7.2,80000,350000
"Green Hills Engineering College, Solan",7.2,80700,600000
"Apollo Engineering College, Poonamallee",7.2,85000,1240000
"Government College of Engineering - [GCOEA], Amravati",7.2,85160,450000
"Meenakshi Sundararajan Engineering College - [MSEC], Chennai",7.2,87000,400000
"PES College of Engineering - [PESCOE], Aurangabad",7.2,87054,450000
"Mallabhum Institute of Technology - [MIT], Bishnupur",7.2,88750,450000
"BVRIT Hyderabad College of Engineering for Women - [BVRITH], Hyderabad",7.2,90000,2400000
"Finolex Academy of Management and Technology - [FAMT], Ratnagiri",7.2,92000,425000
"NBKR Institute of Science and Technology Vidyanagar - [NBKRIST], Nellore",7.2,93200,420000
"Baddi University of Emerging Sciences and Technologies - [BUEST], Baddi",7.2,93900,1000000
